广东移动,#genre#
无线华剧,http://hkenlive.uk/livehttpplay?channel_id=13023
无线亚剧,http://hkenlive.uk/livehttpplay?channel_id=13022
无线亚综,http://hkenlive.uk/livehttpplay?channel_id=13020
无线赛马,http://hkenlive.uk/livehttpplay?channel_id=13005
无线星河频道,http://go1.bkpcp.top/tl/null-7 
黄金翡翠频道,http://go1.bkpcp.top/tl/null-2 
中天新闻,http://tlive24.uk/livehttpplay?channel_id=20163
东森新闻,http://live4play.uk/livehttpplay?channel_id=20082
寰宇新闻,http://122.117.109.23:8570/http/61.67.128.137:8088/hls/76/818/ch62.m3u8
三立新闻,http://live4play.uk/livehttpplay?channel_id=10126
年代新闻,http://live4play.uk/livehttpplay?channel_id=20033
非凡新闻,http://live4play.uk/livehttpplay?channel_id=20034
闽壹新闻,http://live4play.uk/livehttpplay?channel_id=20028
今日新闻,http://live4play.uk/livehttpplay?channel_id=20043
tvbs闽南,http://live4play.uk/livehttpplay?channel_id=20085
tvbs欢乐,http://live4play.uk/livehttpplay?channel_id=20105
tvbs精彩,http://live4play.uk/livehttpplay?channel_id=20136
三立戏剧,http://live4play.uk/livehttpplay?channel_id=10125
中天娱乐,http://live4play.uk/livehttpplay?channel_id=20079
中天综合,http://live4play.uk/livehttpplay?channel_id=20064
八大综合,http://live4play.uk/livehttpplay?channel_id=20068
八大精彩,http://live4play.uk/livehttpplay?channel_id=20052
八大第一,http://live4play.uk/livehttpplay?channel_id=20073
八大娱乐,http://live4play.uk/livehttpplay?channel_id=20071
东森戏剧,http://live4play.uk/livehttpplay?channel_id=20072
BBC地球,http://live4play.uk/livehttpplay?channel_id=20044
国家地理,http://live4play.uk/livehttpplay?channel_id=20037
翡翠,http://222.128.55.152:9080/live/gdfc.m3u8
中天新聞,http://222.128.55.152:9080/live/fc.m3u8
台视新聞,http://222.128.55.152:9080/live/ts.m3u8
寰宇新聞,http://222.128.55.152:9080/live/hy.m3u8
翡翠[3840x2160],http://cdn.163189.xyz/live/fct4k/stream.m3u8
TVBPLUS,http://cdn.163189.xyz/live/tvbp/stream.m3u8
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
HOY78,http://cdn.163189.xyz/live/hoy/stream.m3u8
澳视澳门,http://cdn.163189.xyz/live/asam/stream.m3u8
澳视卫星,http://cdn.163189.xyz/live/as/stream.m3u8
重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8
凤凰资讯,http://cdn3.163189.xyz/live/fhzx/stream.m3u8
TVBJ1,http://cdn3.163189.xyz/live/j1/stream.m3u8
翡翠,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
无线华丽,http://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
华丽翡翠,http://cdn9.163189.xyz/smt1.1.php?id=Wlt
无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
TVB星河,http://cdn9.163189.xyz/smt1.1.php?id=Xinhe
千禧经典,http://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
千禧经典,http://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
Astro AOD,http://cdn9.163189.xyz/smt1.1.php?id=Aodhd
TVB J1,http://cdn5.1678520.xyz/live/?id=j1
HOY 77,http://cdn5.1678520.xyz/live/?id=hoy
TVB PLUS,http://cdn.163189.xyz/live/?id=tvbp
凤凰资讯,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzx
RHK 31,http://jp1.jdiptv.cc/live/rthk31.m3u8?kdstime=1737027675&kdssign=5873a4573de087125ea66ef0cbca5dd6
RHK 32,http://jp1.jdiptv.cc/live/rthk32.m3u8?kdstime=1737027727&kdssign=bb3e9c468e19028f61e4be9f3bf811ac
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台[3840x2160],http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
TVB J2,http://php.jdshipin.com:8880/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbp
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
HOY TV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv
RHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
RHK32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
凤凰资讯,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzx
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
无线翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
新视觉HD,http://120.76.248.139/live/bfgd/4200000249.m3u8
无线星河,http://php.jdshipin.com/smt.php?id=Xinhe
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://122.152.202.33/s/81a8a44f/index.m3u8?id=53$LR?IPV4『线路19』
翡翠台4K[3840x2160],http://cdn.132.us.kg/live/fct4k/stream.m3u8
TVB无线华丽,http://php.jdshipin.com/TVOD/iptv.php?id=huali
TVB无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
TVB无线新闻,http://grandprix2023.asuscomm.com:8892/bysid/83.m3u8
TVB无线新闻,https://cdn.iptv8k.top/dl/jspd.php?id=2&time=20240926215313&ip=111.229.253.40$LR?IPV4『线路1』
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB Plus,http://cdn.132.us.kg/live/tvbp/stream.m3u8
TVB Plus,https://stream1.freetv.fun/tvb-j2-1.m3u8
TVB明珠台,http://grandprix2023.asuscomm.com:8892/bysid/2.m3u8
TVB明珠台,http://1b6467f415.iok.la:9931/tsfile/live/1009_1.m3u8
TVB明珠台,http://grandprix2023.asuscomm.com:8892/bysid/2.m3u8
TVBJ1,http://cdn3.132.us.kg/live/j1/stream.m3u8
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
HOY 77,http://cdn.132.us.kg/live/hoy/stream.m3u8
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
澳视澳门,http://cdn.132.us.kg/live/asam/stream.m3u8
澳门Mac,http://cdn.132.us.kg/live/as/stream.m3u8
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门Mac,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
无线新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
TVB娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
凤凰卫视频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯频道,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
广东珠江频备,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育频备,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
TVB无线华丽,http://php.jdshipin.com/TVOD/iptv.php?id=huali
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻.备用,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
TVB娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台[3840x2160],http://php.jdshipin.com/TVOD/iptv.php?id=fct4
TVB无线华丽,http://php.jdshipin.com/TVOD/iptv.php?id=huali
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台[3840x2160],http://php.jdshipin.com/TVOD/iptv.php?id=fct4
TVB明珠,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
TVB娱乐新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
VIU,http://php.jdshipin.com/TVOD/iptv.php?id=viutv


Free TV 的源,#genre#
//台湾
綜藝,#genre#
qmusic,https://stream1.freetv.fun/qmusic-1.m3u8
tvbs欢乐,https://stream1.freetv.fun/tvbshuan-le-7.ctv
tvbs精采,https://stream1.freetv.fun/tvbsjing-cai-2.m3u8
tvn,https://stream1.freetv.fun/tvn-6.m3u8
tvn,https://stream1.freetv.fun/tvn-5.m3u8
中天娱乐[geo-blocked],https://stream1.freetv.fun/zhong-tian-yu-le-2.m3u8
中天娱乐[geo-blocked],https://stream1.freetv.fun/zhong-tian-yu-le-1.m3u8
中天娱乐,https://stream1.freetv.fun/zhong-tian-yu-le-3.ctv
纬来日本[geo-blocked],rtmp://f13h.mine.nu/sat/tv771
纬来日本,https://stream1.freetv.fun/wei-lai-ri-ben-2.ctv
綜合,#genre#
momo綜合[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv761
momo綜合[geo-blocked],rtmp://f13h.mine.nu/sat/tv761
TVBS Asia,https://stream1.freetv.fun/tvbs-asia-10.m3u8
tvbs asia,https://stream1.freetv.fun/tvbs-asia-1.m3u8
TVBe[geo-blocked],https://stream1.freetv.fun/tvbe-1.m3u8
三立综合,https://stream1.freetv.fun/san-li-zong-he-2.m3u8
三立综合,https://stream1.freetv.fun/san-li-zong-he-3.ctv
三立台湾,https://stream1.freetv.fun/san-li-tai-wan-3.ctv
三立台湾[geo-blocked],https://stream1.freetv.fun/san-li-tai-wan-7.ctv
中天综合,https://stream1.freetv.fun/zhong-tian-zong-he-1.ctv
中視[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv091
中视[geo-blocked],rtmp://f13h.mine.nu/sat/tv091
中視,https://stream1.freetv.fun/zhong-shi-7.m3u8
信吉卫视,https://stream1.freetv.fun/xin-ji-wei-shi-1.ctv
信吉电视,https://stream1.freetv.fun/xin-ji-dian-shi-1.ctv
八大精彩,https://stream1.freetv.fun/ba-da-jing-cai-1.ctv
八大综合,https://stream1.freetv.fun/ba-da-zong-he-2.ctv
八大综合,https://stream1.freetv.fun/ba-da-zong-he-4.ctv
公视,https://stream1.freetv.fun/gong-shi-3.ctv
台视,https://stream1.freetv.fun/tai-shi-6.ctv
國會 1,https://stream1.freetv.fun/guo-hui--1-4.m3u8
國會頻道2,https://stream1.freetv.fun/guo-hui--2-1.m3u8
东森综合[geo-blocked],https://stream1.freetv.fun/dong-sen-zong-he-2.ctv
东森综合,https://stream1.freetv.fun/dong-sen-zong-he-3.ctv
东森综合[geo-blocked],https://stream1.freetv.fun/dong-sen-zong-he-4.ctv
東森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-2.m3u8
东森美洲新闻,https://stream1.freetv.fun/dong-sen-mei-zhou-xin-wen-2.m3u8
东森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-3.m3u8
东森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-4.m3u8
东森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-5.m3u8
东森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-6.m3u8
东森美洲卫视,https://stream1.freetv.fun/dong-sen-mei-zhou-wei-shi-1.m3u8
东森美洲新闻台,https://stream1.freetv.fun/dong-sen-mei-zhou-xin-wen-3.m3u8
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-8.m3u8
东森超视[geo-blocked],rtmp://f13h.mine.nu:1935:1935/sat/tv331
东森超视[geo-blocked],https://stream1.freetv.fun/dong-sen-chao-shi-6.m3u8
东森超视[geo-blocked],rtmp://f13h.mine.nu/sat/tv331
东森超视[geo-blocked],https://stream1.freetv.fun/dong-sen-chao-shi-7.ctv
東森超視,https://stream1.freetv.fun/dong-sen-chao-shi-9.m3u8
東森超視[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv331
东风卫视,https://stream1.freetv.fun/dong-feng-wei-shi-1.m3u8
民视,https://stream1.freetv.fun/min-shi-3.m3u8
民视,https://stream1.freetv.fun/min-shi-10.ctv
民視,https://stream1.freetv.fun/min-shi-1.m3u8
民視[geo-blocked],rtmp://f13h.mine.nu/sat/tv051
民視[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv051
民視第一,https://stream1.freetv.fun/min-shi-di-yi-1.m3u8
緯來育樂[geo-blocked],rtmp://f13h.mine.nu/sat/tv701
緯來育樂[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv701
纬来育乐[geo-blocked],rtmp://f13h.mine.nu/sat/tv701?rtmp://f13h.mine.nu:1935:1935/sat/tv701
纬来育乐[geo-blocked],https://stream1.freetv.fun/wei-lai-yu-le-3.ctv
台视综合,https://stream1.freetv.fun/tai-shi-zong-he-1.ctv
华视[geo-blocked],rtmp://f13h.mine.nu/sat/tv111
華視[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv111
华视美洲频道[geo-blocked],https://stream1.freetv.fun/hua-shi-mei-zhou-1.m3u8
兒童,#genre#
cn卡通[geo-blocked],https://stream1.freetv.fun/cnqia-tong-1.ctv
東森幼幼[geo-blocked],https://stream1.freetv.fun/dong-sen-you-you-6.m3u8
东森幼幼,https://stream1.freetv.fun/dong-sen-you-you-4.m3u8
龙华卡通,https://stream1.freetv.fun/long-hua-qia-tong-2.m3u8
知識,#genre#
bbc earth[geo-blocked],https://stream1.freetv.fun/bbc-earth-13.m3u8
英国bbcearth,https://stream1.freetv.fun/ying-guo-bbcearth-1.m3u8
discovery channel cee hd[geo-blocked],https://stream1.freetv.fun/discovery-channel-cee-1.m3u8
discovery channel,https://stream1.freetv.fun/discovery-channel-8.m3u8
discovery channel,https://stream1.freetv.fun/discovery-channel-16.m3u8
